,index,code,gni_per_capita,life satisfaction in cantril ladder (world happiness report 2019),fertility,total population,continent,working hours per year
79,Eritrea,ERI,,,4.217,3343000.0,Afrika,no data
80,Switzerland,CHE,85670.0,7.508586884,1.533,8297000.0,Europe,1589.4751
81,Oman,OMN,17450.0,,2.939,4267000.0,Asia,no data
82,Andorra,AND,,,-99.0,78000.0,Europe,no data
83,Antigua and Barbuda,ATG,12850.0,,2.003,94000.0,North America,no data
84,Chile,CHL,14130.0,6.436220646000001,1.75,17969000.0,South America,1988.0
85,Finland,FIN,47150.0,7.85810709,1.653,5481000.0,Europe,1637.1949
86,France,FRA,41100.0,6.665903567999999,1.917,64453000.0,Europe,1509.4127
87,Uzbekistan,UZB,2600.0,6.205460072,2.435,30930000.0,Asia,no data
88,Panama,PAN,12200.0,6.2814340589999995,2.54,3968000.0,North America,no data
89,Romania,ROU,9600.0,6.150878906,1.564,19925000.0,Europe,1785.6711
90,Kuwait,KWT,41820.0,,2.083,3836000.0,Asia,no data
91,Moldova,MDA,3300.0,5.682277203,1.261,4071000.0,Europe,no data
92,Morocco,MAR,3020.0,4.896791935,2.524,34664000.0,Africa,no data
93,Serbia,SRB,5960.0,5.9364933970000004,1.455,8877000.0,Europe,no data
94,St. Kitts and Nevis,KNA,16410.0,,-99.0,51000.0,North America,no data
95,Malta,MLT,25230.0,6.909710884,1.418,434000.0,Europe,1964.5587
96,Guam,GUM,,,2.383,162000.0,Oceania,no data
97,Samoa,WSM,3960.0,,4.029,194000.0,Oceania,no data
98,Canada,CAN,47570.0,7.175496578,1.564,36027000.0,North America,1707.0729999999999
99,Guatemala,GTM,3700.0,6.626591682000001,3.029,16252000.0,North America,no data
100,Peru,PER,6340.0,5.679661274,2.323,30471000.0,South America,1932.4581
101,Comoros,COM,1380.0,3.9728195669999997,4.419,777000.0,Afrika,no data
102,British Virgin Islands,VGB,,,-99.0,29000.0,North America,no data
103,Malawi,MWI,350.0,3.3346335889999996,4.527,16745000.0,Afrika,no data
104,Japan,JPN,38840.0,5.793575287,1.395,127985000.0,Asia,1750.9
105,Philippines,PHL,3380.0,5.869172572999999,2.805,102113000.0,Asia,2148.5645
106,Guyana,GUY,5470.0,,2.5340000000000003,767000.0,South America,no data
107,St. Martin (French part),MAF,,,-99.0,36000.0,North America,no data
108,Turkey,TUR,12030.0,5.185689449,2.101,78529000.0,Asia,1832.0
109,Italy,ITA,32980.0,6.516526699,1.3769999999999998,60578000.0,Europe,1717.9958
