,country_name,country_code,Population,Continent,GNI_Total,Income share held by highest 10%,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Percent),Trust in others (World Values Survey (2014)),Life satisfaction in Cantril Ladder (World Happiness Report 2020)
71,Greenland,GRL,56000.0,North America,,.,1.012287962900802,,
72,Guatemala,GTM,16252000.0,North America,60132400000.0,38.4,6.949675552563088,,
73,Guam,GUM,162000.0,Oceania,,.,0.6469361746073826,,
74,Guyana,GUY,767000.0,South America,4195490000.0,.,2.2788093132942464,,
75,Honduras,HND,9113000.0,North America,18772780000.0,37.8,9.343012618843618,,
76,Croatia,HRV,4233000.0,Europe,54902010000.0,24.1,0.09321343706191464,,
77,Haiti,HTI,10696000.0,North America,14867440000.0,31.0,2.467918809846688,,
78,Hungary,HUN,9778000.0,Europe,129558500000.0,24.0,0.129769528793899,,
79,Indonesia,IDN,258383008.0,Asia,886253717440.0,31.9,0.15383698998630396,,
80,Isle of Man,IMN,83000.0,Europe,6971170000.0,.,,,
81,India,IND,1310151936.0,Asia,2096243097600.0,29.8,0.4223051559997704,32.953829999999996,
82,Ireland,IRL,4652000.0,Europe,234228200000.0,24.9,0.10689227980392726,,
83,Iraq,IRQ,35572000.0,Asia,210941960000.0,23.7,1.612182767088758,30.0,
84,Iceland,ISL,330000.0,Europe,16552800000.0,21.3,0.11147202706150333,,
85,Israel,ISR,7978000.0,Asia,287766460000.0,29.6,0.4090670354672192,,
86,Italy,ITA,60578000.0,Europe,1997862440000.0,25.5,0.07539838433408387,,
87,Jamaica,JAM,2891000.0,North America,13587700000.0,.,4.376273850559339,,
88,Jordan,JOR,9267000.0,Asia,36604650000.0,27.5,1.0086995436018915,13.25,
89,Japan,JPN,127985000.0,Asia,4970937400000.0,.,0.052010686382944316,35.93942,
90,Kazakhstan,KAZ,17572000.0,Asia,199969360000.0,22.3,1.13185941029639,38.8,
91,Kenya,KEN,47878000.0,Africa,61762620000.0,.,1.5134320070791354,,
92,Kyrgyz Republic,KGZ,5959000.0,Asia,7031620000.0,24.8,0.7910237949423792,37.72538,
93,Cambodia,KHM,15521000.0,Asia,16452260000.0,.,0.3766062748372017,,
94,Kiribati,KIR,111000.0,Oceania,385170000.0,.,0.2027307062266014,,
95,St. Kitts and Nevis,KNA,51000.0,"America, North",836910000.0,.,,,
96,Kuwait,KWT,3836000.0,Asia,160421520000.0,.,0.4979722918951668,29.153609999999997,
97,Lao PDR,LAO,6741000.0,Asia,13279770000.0,29.8,0.4924646494103322,,
98,Lebanon,LBN,6533000.0,Asia,47560240000.0,24.8,1.132689766760824,9.83333,
99,Liberia,LBR,4472000.0,Africa,2817360000.0,26.0,0.3157674223930189,,
100,Libya,LBY,6418000.0,Africa,36518420000.0,.,0.4772223092606242,11.00614,
101,St. Lucia,LCA,179000.0,"America, North",1562670000.0,.,2.4694899410300497,,
102,Liechtenstein,LIE,37000.0,Europe,,.,,,
103,Sri Lanka,LKA,20908000.0,Asia,78614080000.0,32.2,0.6043574189093152,,
104,Lesotho,LSO,2059000.0,Africa,2759060000.0,40.9,3.1528603598748144,,
105,Lithuania,LTU,2932000.0,Europe,44537080000.0,28.9,0.4191689681510948,,
106,Luxembourg,LUX,567000.0,Europe,41090490000.0,24.3,0.14101715793789704,,
107,Latvia,LVA,1998000.0,Europe,30169800000.0,26.6,0.4759631008686399,,
108,St. Martin (French part),MAF,36000.0,North America,,.,,,
109,Morocco,MAR,34664000.0,Africa,104685280000.0,.,0.1855440893150448,12.44743,
110,Monaco,MCO,38000.0,Europe,,.,,,
111,Moldova,MDA,4071000.0,Europe,13434300000.0,22.5,0.5371630408510562,,
112,Madagascar,MDG,24234000.0,Africa,11874660000.0,33.5,0.21270565845294592,,
113,Maldives,MDV,455000.0,Asia,3480750000.0,.,0.3490226460417419,,
114,Mexico,MEX,121858000.0,"America, North",1238077280000.0,39.7,6.067699948486665,12.4062,
115,Marshall Islands,MHL,57000.0,Oceania,245670000.0,.,0.850599825872637,,
116,North Macedonia,MKD,2079000.0,Europe,10623690000.0,25.0,0.20631017379856254,,
117,Mali,MLI,17439000.0,Africa,13951200000.0,.,0.570817761235773,,
118,Malta,MLT,434000.0,Europe,10949820000.0,.,0.1325705244635861,,
119,Myanmar,MMR,52681000.0,Asia,66378060000.0,31.7,0.2165978266925621,,
120,Montenegro,MNE,627000.0,Europe,4545750000.0,25.7,0.3400611268585387,,
121,Mongolia,MNG,2998000.0,Asia,11452360000.0,25.5,1.284081066733063,,
