country,code,gni_per_capita,population,continent,top10_share,homicide
Kazakhstan,KAZ,11380.0,17572000.0,Asia,22.3,1.13185941029639
Kenya,KEN,1290.0,47878000.0,Africa,,1.5134320070791354
Kyrgyz Republic,KGZ,1180.0,5959000.0,Asia,24.8,0.7910237949423792
Cambodia,KHM,1060.0,15521000.0,Asia,,0.3766062748372017
Kiribati,KIR,3470.0,111000.0,Oceania,,0.2027307062266014
St. Kitts and Nevis,KNA,16410.0,51000.0,North America,,
Kuwait,KWT,41820.0,3836000.0,Asia,,0.4979722918951668
Lao PDR,LAO,1970.0,6741000.0,Asia,29.8,0.4924646494103322
Lebanon,LBN,7280.0,6533000.0,Asia,24.8,1.132689766760824
Liberia,LBR,630.0,4472000.0,Africa,26.0,0.3157674223930189
Libya,LBY,5690.0,6418000.0,Africa,,0.4772223092606242
St. Lucia,LCA,8730.0,179000.0,North America,,2.4694899410300497
Liechtenstein,LIE,,37000.0,Europe,,
Sri Lanka,LKA,3760.0,20908000.0,Asia,32.2,0.6043574189093152
Lesotho,LSO,1340.0,2059000.0,Africa,40.9,3.1528603598748144
Lithuania,LTU,15190.0,2932000.0,Europe,28.9,0.4191689681510948
Luxembourg,LUX,72470.0,567000.0,Europe,24.3,0.14101715793789704
Latvia,LVA,15100.0,1998000.0,Europe,26.6,0.4759631008686399
St. Martin (French part),MAF,,36000.0,North America,,
Morocco,MAR,3020.0,34664000.0,Africa,,0.1855440893150448
Monaco,MCO,,38000.0,Europe,,
Moldova,MDA,3300.0,4071000.0,Europe,22.5,0.5371630408510562
Madagascar,MDG,490.0,24234000.0,Africa,33.5,0.21270565845294592
Maldives,MDV,7650.0,455000.0,Asia,,0.3490226460417419
Mexico,MEX,10160.0,121858000.0,North America,39.7,6.067699948486665
Marshall Islands,MHL,4310.0,57000.0,Oceania,,0.850599825872637
North Macedonia,MKD,5110.0,2079000.0,Europe,25.0,0.20631017379856254
Mali,MLI,800.0,17439000.0,Africa,,0.570817761235773
Malta,MLT,25230.0,434000.0,Europe,,0.1325705244635861
Myanmar,MMR,1260.0,52681000.0,Asia,31.7,0.2165978266925621
Montenegro,MNE,7250.0,627000.0,Europe,25.7,0.3400611268585387
Mongolia,MNG,3820.0,2998000.0,Asia,25.5,1.284081066733063
Northern Mariana Islands,MNP,,56000.0,Oceania,,0.8569619101184924
Mozambique,MOZ,640.0,27042000.0,Africa,,0.7422805430231328
Mauritania,MRT,1640.0,4046000.0,Africa,24.8,0.7414760640366326
Mauritius,MUS,10700.0,1259000.0,Africa,29.0,0.31455822068756445
Malawi,MWI,350.0,16745000.0,Africa,37.5,0.2262426419968719
Malaysia,MYS,10680.0,30271000.0,Asia,,0.3649973326005402
Namibia,NAM,5290.0,2315000.0,Africa,,2.0333200053255016
New Caledonia,NCL,,271000.0,Oceania,,
Niger,NER,560.0,20002000.0,Africa,26.8,0.6086620788021244
Nigeria,NGA,2820.0,181136992.0,Africa,,0.44969080930052224
Nicaragua,NIC,1890.0,6223000.0,North America,37.5,2.0344968478646908
Netherlands,NLD,49810.0,16938000.0,Europe,23.3,0.09602445358243082
Norway,NOR,93110.0,5200000.0,Europe,21.6,0.09276939150293792
Nepal,NPL,780.0,27015000.0,Asia,26.4,0.26616418684222737
Nauru,NRU,11390.0,10000.0,Oceania,,
New Zealand,NZL,40640.0,4615000.0,Oceania,,0.18280556300900705
Oman,OMN,17450.0,4267000.0,Asia,,0.21575770214785275
Pakistan,PAK,1260.0,199427008.0,Asia,26.0,0.6582317052004083
Panama,PAN,12200.0,3968000.0,North America,39.3,3.371020438162643
